CIN,PIN,sex,pref.active,pref.warm,pref.reliable,pref.emo.unstable,pref.cultured,pref.unenergetic,pref.unagreeable,pref.conscientious,pref.insecure,pref.knowledgeable,pref.submissive,pref.lenient,pref.careful,pref.nervous,pref.intelligent,pref.bold,pref.stubborn,pref.well.organized,pref.relaxed,pref.imperceptive,pref.independent,pref.suspicious,pref.lazy,pref.temperamental,pref.creative,pref.humble,pref.fair,pref.untraditional,pref.unemotional,pref.complex,pref.talkative,pref.selfish,pref.conservative,pref.jealous,pref.uncurious,pref.retiring,pref.generous,pref.impractical,pref.objective,pref.unanalytical,active.comp,warm.comp,reliable.comp,emo.unstable.comp,cultured.comp,unenergetic.comp,unagreeable.comp,conscientious.comp,insecure.comp,knowledgeable.comp,submissive.comp,lenient.comp,careful.comp,nervous.comp,intelligent.comp,bold.comp,stubborn.comp,well.organized.comp,relaxed.comp,imperceptive.comp,independent.comp,suspicious.comp,lazy.comp,temperamental.comp,creative.comp,humble.comp,fair.comp,untraditional.comp,unemotional.comp,complex.comp,talkative.comp,selfish.comp,conservative.comp,jealous.comp,uncurious.comp,retiring.comp,generous.comp,impractical.comp,objective.comp,unanalytical.comp,int1.rate.active,int1.rate.warm,int1.rate.reliable,int1.rate.emo.unstable,int1.rate.cultured,int1.rate.unenergetic,int1.rate.unagreeable,int1.rate.conscientious,int1.rate.insecure,int1.rate.knowledgeable,int1.rate.submissive,int1.rate.lenient,int1.rate.careful,int1.rate.nervous,int1.rate.intelligent,int1.rate.bold,int1.rate.stubborn,int1.rate.well.organized,int1.rate.relaxed,int1.rate.imperceptive,int1.rate.independent,int1.rate.suspicious,int1.rate.lazy,int1.rate.temperamental,int1.rate.creative,int1.rate.humble,int1.rate.fair,int1.rate.untraditional,int1.rate.unemotional,int1.rate.complex,int1.rate.talkative,int1.rate.selfish,int1.rate.conservative,int1.rate.jealous,int1.rate.uncurious,int1.rate.retiring,int1.rate.generous,int1.rate.impractical,int1.rate.objective,int1.rate.unanalytical,int2.rate.active,int2.rate.warm,int2.rate.reliable,int2.rate.emo.unstable,int2.rate.cultured,int2.rate.unenergetic,int2.rate.unagreeable,int2.rate.conscientious,int2.rate.insecure,int2.rate.knowledgeable,int2.rate.submissive,int2.rate.lenient,int2.rate.careful,int2.rate.nervous,int2.rate.intelligent,int2.rate.bold,int2.rate.stubborn,int2.rate.well.organized,int2.rate.relaxed,int2.rate.imperceptive,int2.rate.independent,int2.rate.suspicious,int2.rate.lazy,int2.rate.temperamental,int2.rate.creative,int2.rate.humble,int2.rate.fair,int2.rate.untraditional,int2.rate.unemotional,int2.rate.complex,int2.rate.talkative,int2.rate.selfish,int2.rate.conservative,int2.rate.jealous,int2.rate.uncurious,int2.rate.retiring,int2.rate.generous,int2.rate.impractical,int2.rate.objective,int2.rate.unanalytical
1.0,2,0,6,7,7,7,5,6,5,7,7,7,5,4,7,6,7,4,7,7,7,7,5,7,7,7,7,5,7,4,1,7,5,7,4,4,7,7,7,7,6,4,5,5,6,6,4,5,6,6,5,4,3.5,5,5.5,5.5,4,4,5,4.5,4.5,4,4.5,5,5.5,6,5.5,3.5,5.5,5,4.5,3.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,3.5,5,5,6,6,4,5,6,5,4,4,3,5,5,4,4,3,5,5,4,3,3,5,5,6,5,3,5,5,4,3,3,4,4,5,3,4,4,4,4,3,5,5,6,6,4,5,6,7,6,4,4,5,6,7,4,5,5,4,5,5,6,5,6,6,6,4,6,5,5,4,4,5,5,4,4,5,5,5,3,4
2.0,4,0,7,7,7,7,6,6,6,7,6,7,2,6,6,7,7,6,5,6,7,6,2,7,7,2,7,7,7,4,2,2,2,6,1,5,6,6,4,6,6,2,3,3.5,4,4,3.5,4,5,4.5,4.5,3.5,5,5,5.5,4,3.5,4.5,1.5,4,5,4.5,6,2,4.5,4,3.5,3.5,5,3.5,5,2,3,3.5,2.5,4,3.5,2.5,4,6,2.5,2.5,3,4,5,5,5,6,6,6,6,5,5,4,7,3,5,4,2,5,6,5,7,2,5,5,4,3,6,1,5,2,3,3,1,4,5,3,4,7,1,3,3,3,3,3,2,2,4,3,3,2,5,6,4,5,2,5,1,3,4,4,5,2,4,3,3,4,4,6,5,2,3,4,4,4,2,2,4,5,4,2
3.0,6,0,6,6,5,7,6,6,6,6,7,6,5,4,4,7,6,5,7,5,6,6,7,6,6,7,7,6,6,2,3,6,6,4,2,7,6,7,5,6,6,4,6,5.5,6,6,6.5,5.5,5.5,6.5,5.5,6,6,3,5,5.5,6,6,3,4.5,5.5,5.5,6.5,4,4.5,5,5.5,5,5,1.5,4,5,5.5,3,1.5,6,6.5,5,4,6,2.5,6,7,6,7,6,7,6,5,7,5,6,7,3,5,6,6,7,3,4,6,6,7,4,4,7,6,5,5,1,5,6,6,3,1,6,6,4,3,6,2,7,5,5,5,6,6,5,6,6,6,6,5,3,5,5,6,5,3,5,5,5,6,4,5,3,5,5,5,2,3,4,5,3,2,6,7,6,5,6,3,5
4.0,8,0,7,7,7,7,7,4,4,7,7,7,7,4,7,7,7,7,7,7,5,7,7,7,6,7,4,7,7,7,4,6,7,4,4,7,7,7,5,7,5,5,6.5,5,5,5.5,5,6.5,5,5.5,6,5.5,6,4.5,5,5,5.5,6,5,5,3.5,6,5,3.5,6,4.5,4.5,5.5,5,5,5,3,5.5,4,5,4,4,6,4.5,5,3.5,5,7,6,5,5,4,7,6,5,6,5,6,4,5,5,6,6,6,5,5,6,5,5,6,4,4,5,6,4,4,3,5,4,4,5,4,6,5,4,4,4,6,4,5,6,6,6,4,6,6,6,6,5,5,5,5,6,4,5,2,6,5,2,6,5,5,6,4,6,6,3,6,4,6,3,4,6,4,6,3,6
5.0,10,0,7,7,7,7,6,7,4,7,7,6,5,4,7,7,7,5,3,6,6,7,7,7,7,6,6,6,7,6,3,6,6,4,5,4,6,7,4,5,5,6,2.5,4,4,5,3,3,5,3.5,4.5,3.5,3,3.5,4,3.5,3.5,3.5,3,3.5,4,3.5,3.5,4,4.5,4.5,3,3,4,6,5,2.5,2,3.5,5,3.5,3,4,4.5,4.5,4,3,3,4,4,5,2,3,4,4,4,3,3,4,3,3,3,4,3,4,3,3,4,3,4,4,2,3,4,6,6,2,2,4,4,4,2,5,4,4,4,2,2,4,4,5,4,3,6,3,5,4,3,3,5,4,4,3,3,3,5,4,3,5,5,5,4,3,4,6,4,3,2,3,6,3,4,3,5,5,4,4
6.0,12,0,7,7,7,2,5,7,7,7,7,7,4,4,7,6,7,4,6,6,6,6,6,7,7,7,4,6,7,4,2,4,5,6,4,5,5,6,5,6,4,4,5.5,6.5,6,5.5,5.5,6,6.5,5.5,4,5.5,5.5,3.5,5,4,5.5,5.5,3,6.5,4,6,5,3.5,4.5,4.5,4.5,6,5,6.5,4.5,4.5,6,4.5,6.5,2.5,6.5,6.5,4.5,5,4.5,5.5,5,6,5,4,5,6,6,4,3,5,5,3,4,2,5,5,3,7,3,6,6,1,4,3,5,6,4,6,5,4,6,3,6,2,7,6,3,4,3,5,6,7,7,7,6,6,7,7,5,6,6,4,6,6,6,6,3,6,5,6,4,6,5,6,4,6,6,7,4,5,6,6,7,3,6,7,6,6,6,6
7.0,14,0,5,6,6,6,6,6,6,6,6,7,4,4,7,7,7,4,6,7,4,7,4,6,6,7,7,4,6,2,4,4,4,4,3,6,7,6,6,5,4,4,4.5,4,5,5,6.5,4.5,4.5,5.5,5.5,6,4,4,5,5,6.5,4.5,4,4.5,4.5,6,5.5,4.5,5.5,5,6,5.5,5,4,4.5,5,4,3.5,3,4,6,4,3.5,6,5.5,6,5,5,4,4,6,4,5,5,5,5,4,5,4,5,6,4,5,4,5,5,6,6,5,5,5,5,5,2,4,5,5,4,2,3,6,5,4,6,5,5,4,3,6,6,7,5,4,6,6,7,4,3,6,5,7,5,3,5,4,7,5,3,6,5,7,6,5,6,5,5,3,3,4,5,6,3,3,6,6,7
8.0,16,0,7,7,7,7,6,7,7,6,6,6,6,5,6,7,7,7,6,7,6,7,7,6,7,7,6,7,7,2,1,6,7,4,2,7,7,7,7,7,2,1,6.5,6.5,4,5,4,6,7,3.5,4.5,5,5,5,3,6.5,5,6,4,3.5,5,5,4.5,6,4.5,5,5,4.5,4.5,4,3.5,4,6.5,4,3.5,4.5,5.5,6.5,5.5,4,3.5,3.5,6,6,5,4,3,6,7,4,4,4,5,5,3,6,4,5,5,4,4,4,4,6,5,5,4,4,4,4,4,3,6,3,4,5,5,6,5,5,4,3,7,7,3,6,5,6,7,3,5,6,5,5,3,7,6,7,3,3,6,6,5,6,4,5,6,5,5,4,3,5,7,5,3,4,6,7,6,3,3,4
9.0,18,0,6,7,7,7,6,7,6,6,7,7,6,5,7,6,6,6,6,6,4,6,6,7,6,7,6,7,7,4,2,4,6,6,4,3,6,6,7,7,4,4,6,6.5,6,5.5,4,7,7,5,6,4.5,5.5,5.5,4,4.5,4.5,6,6,4,5.5,4.5,6,5.5,5,5,6.5,4.5,5.5,4,3,3,6.5,5,3.5,6,5,7,6.5,5.5,6,3.5,5,6,6,5,3,7,7,5,6,4,5,6,4,4,4,5,6,4,5,3,6,5,5,5,6,5,5,5,4,2,6,5,4,6,5,7,7,6,5,3,7,7,6,6,5,7,7,5,6,5,6,5,4,5,5,7,6,4,6,6,6,6,5,5,7,4,6,3,2,4,7,5,3,6,5,7,6,5,7,4
10.0,20,0,6,7,7,7,4,6,NA,6,7,6,5,4,6,7,7,5,7,6,7,6,6,7,7,7,7,5,7,4,2,6,5,6,4,3,6,7,7,6,5,5,5.5,5.5,3.5,4.5,5.5,6,6.5,4.5,5.5,5.5,5.5,5,3,5.5,5,5.5,6.5,4,5.5,5,4.5,4.5,4,5.5,5,4.5,5,6,4,5,5.5,4.5,4,4.5,5.5,6,6,3,4.5,4.5,6,6,3,4,6,7,7,5,6,6,6,4,3,6,5,6,7,4,6,6,5,6,4,6,6,5,5,6,4,5,6,5,3,4,6,6,6,3,6,5,5,5,4,5,5,5,6,4,5,5,5,6,3,5,5,5,6,4,5,4,4,3,4,5,4,4,5,6,4,5,5,4,5,5,5,6,6,3,3,4
