"PIN","CIN","sex","age","race","race2","income2","relstat","relstat2","rellength","ordergroup","attgroup","partnerab","ideal_kind","ideal_sociable","ideal_refined","ideal_resources","ideal_muscular","ideal_dependable","ideal_emostable","ideal_desirefamily","ideal_status","ideal_physatt","ideal_religious","ideal_ambitious","ideal_healthy","ideal_educated","ideal_dominant","ideal_confident","ideal_intelligent","ideal_feminine","ideal_loving","ideal_age","self_sr_kind","self_sr_sociable","self_sr_refined","self_sr_resources","self_sr_muscular","self_sr_dependable","self_sr_emostable","self_sr_desirefamily","self_sr_status","self_sr_physatt","self_sr_religious","self_sr_ambitious","self_sr_healthy","self_sr_educated","self_sr_dominant","self_sr_confident","self_sr_intelligent","self_sr_feminine","self_sr_loving","self_sr_age","self_mr_kind","self_mr_sociable","self_mr_refined","self_mr_resources","self_mr_muscular","self_mr_dependable","self_mr_emostable","self_mr_desirefamily","self_mr_status","self_mr_physatt","self_mr_religious","self_mr_ambitious","self_mr_healthy","self_mr_educated","self_mr_dominant","self_mr_confident","self_mr_intelligent","self_mr_feminine","self_mr_loving","self_mr_age","self_comp_kind","self_comp_sociable","self_comp_refined","self_comp_resources","self_comp_muscular","self_comp_dependable","self_comp_emostable","self_comp_desirefamily","self_comp_status","self_comp_physatt","self_comp_religious","self_comp_ambitious","self_comp_healthy","self_comp_educated","self_comp_dominant","self_comp_confident","self_comp_intelligent","self_comp_feminine","self_comp_loving","self_comp_age","mate_sr_kind","mate_sr_sociable","mate_sr_refined","mate_sr_resources","mate_sr_muscular","mate_sr_dependable","mate_sr_emostable","mate_sr_desirefamily","mate_sr_status","mate_sr_physatt","mate_sr_religious","mate_sr_ambitious","mate_sr_healthy","mate_sr_educated","mate_sr_dominant","mate_sr_confident","mate_sr_intelligent","mate_sr_feminine","mate_sr_loving","mate_sr_age","mate_mr_kind","mate_mr_sociable","mate_mr_refined","mate_mr_resources","mate_mr_muscular","mate_mr_dependable","mate_mr_emostable","mate_mr_desirefamily","mate_mr_status","mate_mr_physatt","mate_mr_religious","mate_mr_ambitious","mate_mr_healthy","mate_mr_educated","mate_mr_dominant","mate_mr_confident","mate_mr_intelligent","mate_mr_feminine","mate_mr_loving","mate_mr_age","mate_comp_kind","mate_comp_sociable","mate_comp_refined","mate_comp_resources","mate_comp_muscular","mate_comp_dependable","mate_comp_emostable","mate_comp_desirefamily","mate_comp_status","mate_comp_physatt","mate_comp_religious","mate_comp_ambitious","mate_comp_healthy","mate_comp_educated","mate_comp_dominant","mate_comp_confident","mate_comp_intelligent","mate_comp_feminine","mate_comp_loving","mate_comp_age"
1,1,0,52,"5","",1,4,"",360,1,0,"B",5,4,4,4,4,5,5,5,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4,1,6,5,5,6,2,4,4,1,6,5,5,3,5,4,4,4,5,5,5,4,6,6,5,6,4,5,3,3,6,5,6,5,6,5,4,4,4.5,4.5,4.5,2.5,6,5.5,5,6,3,4.5,3.5,2,6,5,5.5,4,5.5,4.5,4,4,5,5,4,7,2,7,4,7,4,5,2,4,6,6,6,6,6,4,6,4,6,5,4,6,2,6,5,7,5,4,3,5,5,5,5,5,5,4,5,4,5.5,5,4,6.5,2,6.5,4.5,7,4.5,4.5,2.5,4.5,5.5,5.5,5.5,5.5,5.5,4,5.5,4
2,1,1,51,"5","",9,4,"",360,2,0,"A",6,5,4,4,4,6,6,6,4,4,3,4,6,6,4,5,6,5,6,4,6,5,4,6,2,6,5,7,5,4,3,5,5,5,5,5,5,4,5,4,5,5,4,7,2,7,4,7,4,5,2,4,6,6,6,6,6,4,6,4,5.5,5,4,6.5,2,6.5,4.5,7,4.5,4.5,2.5,4.5,5.5,5.5,5.5,5.5,5.5,4,5.5,4,5,5,5,4,6,6,5,6,4,5,3,3,6,5,6,5,6,5,4,4,4,4,4,1,6,5,5,6,2,4,4,1,6,5,5,3,5,4,4,4,4.5,4.5,4.5,2.5,6,5.5,5,6,3,4.5,3.5,2,6,5,5.5,4,5.5,4.5,4,4
3,2,0,33,"2","",7,4,"",48,2,0,"A",7,7,7,7,5,7,7,7,7,7,2,7,7,7,7,7,7,2,7,2,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,7,7,7,7,4,7,7,7,7,7,2,7,7,7,7,7,7,7,7,3,6.5,6.5,6.5,6.5,3,6.5,6.5,6.5,6.5,6.5,4,6.5,6.5,6.5,6.5,6.5,6.5,4.5,6.5,4.5,7,7,7,7,5,7,7,7,7,7,2,7,7,7,7,7,7,2,7,7,7,6,6,6,1,6,6,6,6,5,1,6,6,NA,6,6,6,6,6,2,7,6.5,6.5,6.5,3,6.5,6.5,6.5,6.5,6,1.5,6.5,6.5,NA,6.5,6.5,6.5,4,6.5,4.5
4,2,1,49,"5","",7,4,"",48,1,0,"B",7,7,7,7,4,7,7,7,7,7,2,7,7,7,7,7,7,7,7,2,7,6,6,6,1,6,6,6,6,5,1,6,6,NA,6,6,6,6,6,2,7,7,7,7,5,7,7,7,7,7,2,7,7,7,7,7,7,2,7,7,7,6.5,6.5,6.5,3,6.5,6.5,6.5,6.5,6,1.5,6.5,6.5,NA,6.5,6.5,6.5,4,6.5,4.5,7,7,7,7,4,7,7,7,7,7,2,7,7,7,7,7,7,7,7,3,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6.5,6.5,6.5,6.5,3,6.5,6.5,6.5,6.5,6.5,4,6.5,6.5,6.5,6.5,6.5,6.5,4.5,6.5,4.5
5,3,0,26,"5","",6,4,"",121,2,1,"B",7,7,7,7,6,7,7,7,7,7,7,7,7,7,4,7,7,3,7,2,7,5,7,7,4,7,5,7,7,7,7,7,7,7,4,7,7,7,7,2,7,7,7,7,5,7,7,7,7,7,7,7,7,7,4,7,7,7,7,1,7,6,7,7,4.5,7,6,7,7,7,7,7,7,7,4,7,7,7,7,1.5,7,7,7,7,6,7,7,7,7,7,7,7,7,7,4,7,7,7,7,2,7,7,7,7,5,7,7,7,7,7,7,7,7,7,5,7,7,1,7,1,7,7,7,7,5.5,7,7,7,7,7,7,7,7,7,4.5,7,7,4,7,1.5
6,3,1,26,"5","",7,4,"",121,1,1,"A",7,7,7,7,4,7,7,7,7,7,7,7,7,7,4,7,7,7,7,1,7,7,7,7,5,7,7,7,7,7,7,7,7,7,5,7,7,1,7,1,7,7,7,7,6,7,7,7,7,7,7,7,7,7,4,7,7,7,7,2,7,7,7,7,5.5,7,7,7,7,7,7,7,7,7,4.5,7,7,4,7,1.5,7,7,7,7,5,7,7,7,7,7,7,7,7,7,4,7,7,7,7,1,7,5,7,7,4,7,5,7,7,7,7,7,7,7,4,7,7,7,7,2,7,6,7,7,4.5,7,6,7,7,7,7,7,7,7,4,7,7,7,7,1.5
7,4,0,63,"5","",2,4,"",324,1,1,"B",7,5,5,5,5,7,7,4,5,6,4,5,6,6,4,6,5,2,6,6,6,6,5,4,5,6,6,4,5,6,5,5,5,5,4,5,5,5,6,6,5,5,5,4,5,5,5,4,4,6,4,4,5,5,4,4,5,5,5,6,5.5,5.5,5,4,5,5.5,5.5,4,4.5,6,4.5,4.5,5,5,4,4.5,5,5,5.5,6,5,4,5,7,6,6,6,4,6,5,2,6,6,6,5,6,7,2,5,6,5,4,4,7,6,6,5,1,6,5,1,5,6,6,4,6,7,2,6,6,5,4,4.5,7,6,6,5.5,2.5,6,5,1.5,5.5,6,6,4.5,6,7,2,5.5,6
8,4,1,65,"5","",9,4,"",324,1,0,"A",6,5,5,5,4,7,7,1,6,6,4,5,6,6,4,6,6,6,6,6,5,4,4,7,6,6,5,1,6,5,1,5,6,6,4,6,7,2,6,6,5,4,5,7,6,6,6,4,6,5,2,6,6,6,5,6,7,2,5,6,5,4,4.5,7,6,6,5.5,2.5,6,5,1.5,5.5,6,6,4.5,6,7,2,5.5,6,5,5,5,4,5,5,5,4,4,6,4,4,5,5,4,4,5,5,5,6,6,6,5,4,5,6,6,4,5,6,5,5,5,5,4,5,5,5,6,6,5.5,5.5,5,4,5,5.5,5.5,4,4.5,6,4.5,4.5,5,5,4,4.5,5,5,5.5,6
9,5,0,61,"5","",3,4,"",408,1,0,"B",6,4,5,5,5,7,6,5,5,5,6,5,5,6,4,5,6,3,5,4,6,3,5,6,3,6,6,5,5,5,6,3,3,6,3,3,6,5,5,4,6,5,5,6,2,6,6,6,5,5,6,5,2,7,4,4,6,5,3,5,6,4,5,6,2.5,6,6,5.5,5,5,6,4,2.5,6.5,3.5,3.5,6,5,4,4.5,6,6,5,5,5,6,6,7,5,5,7,5,6,5,4,5,6,3,6,4,6,7,4,5,5,6,6,7,5,6,7,6,6,4,5,6,6,2,6,4,6,6.5,4.5,5,5,6,6,7,5,5.5,7,5.5,6,4.5,4.5,5.5,6,2.5,6,4
10,5,1,59,"5","",5,4,"",400,2,1,"A",6,6,5,6,4,6,6,7,5,5,7,5,6,6,4,5,6,6,6,4,6,7,4,5,5,6,6,7,5,6,7,6,6,4,5,6,6,2,6,4,6,6,5,5,5,6,6,7,5,5,7,5,6,5,4,5,6,3,6,4,6,6.5,4.5,5,5,6,6,7,5,5.5,7,5.5,6,4.5,4.5,5.5,6,2.5,6,4,6,5,5,6,2,6,6,6,5,5,6,5,2,7,4,4,6,5,3,5,6,3,5,6,3,6,6,5,5,5,6,3,3,6,3,3,6,5,5,4,6,4,5,6,2.5,6,6,5.5,5,5,6,4,2.5,6.5,3.5,3.5,6,5,4,4.5
11,6,0,60,"5","",10,4,"",480,1,0,"A",7,7,7,7,7,6,6,6,6,7,5,7,6,7,6,6,7,1,7,5,7,6,5,7,5,6,7,5,7,6,5,7,6,7,6,6,6,6,6,3,7,7,7,7,7,6,5,5,6,6,6,5,7,7,7,6,6,6,6,5,7,6.5,6,7,6,6,6,5,6.5,6,5.5,6,6.5,7,6.5,6,6,6,6,4,7,7,7,7,6,7,7,6,7,6,5,6,6,7,7,7,7,1,7,4,7,7,7,6,6,6,6,6,6,5,7,6,6,6,6,6,7,6,7,4,7,7,7,6.5,6,6.5,6.5,6,6.5,5.5,6,6,6,6.5,6.5,6.5,7,3.5,7,4
12,6,1,65,"5","",10,4,"",460,1,1,"B",7,7,6,6,6,7,7,6,6,6,6,7,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,6,6,5,7,6,6,6,6,6,7,6,7,4,7,7,7,7,6,7,7,6,7,6,5,6,6,7,7,7,7,1,7,4,7,7,7,6.5,6,6.5,6.5,6,6.5,5.5,6,6,6,6.5,6.5,6.5,7,3.5,7,4,7,7,7,7,7,6,5,5,6,6,6,5,7,7,7,6,6,6,6,5,7,6,5,7,5,6,7,5,7,6,5,7,6,7,6,6,6,6,6,3,7,6.5,6,7,6,6,6,5,6.5,6,5.5,6,6.5,7,6.5,6,6,6,6,4
13,7,0,37,"3","",8,4,"",12,2,0,"A",7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,4,7,6,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,6,7,7,7,2,7,7,7,7,2,7,7,7,7,5.5,7,6.5,7,7,7,6.5,7,7,7,4.5,7,7,7,7,2,7,7,7,7,5,7,7,7,7,7,7,7,7,7,6,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,3,7,7,7,7,6,7,7,7,7,7,7,7,7,7,3.5,7,7,7,7,3
14,7,1,35,"3","",7,4,"",12,1,0,"B",7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,3,7,7,7,7,5,7,7,7,7,7,7,7,7,7,6,7,7,7,7,3,7,7,7,7,6,7,7,7,7,7,7,7,7,7,3.5,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,6,7,7,7,2,7,7,7,7,2,7,7,7,7,4,7,6,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,5.5,7,6.5,7,7,7,6.5,7,7,7,4.5,7,7,7,7,2
15,8,0,76,"5","",10,4,"",710,2,1,"A",5,4,3,5,5,5,5,5,4,5,5,4,5,4,4,4,4,3,5,4,5,5,5,3,3,4,4,5,5,5,5,4,4,3,3,3,4,5,5,5,7,7,6,5,4,6,3,6,6,7,7,4,5,4,4,3,5,6,6,5,6,6,5.5,4,3.5,5,3.5,5.5,5.5,6,6,4,4.5,3.5,3.5,3,4.5,5.5,5.5,5,5,5,4,5,4,5,5,5,5,5,4,4,4,4,4,5,5,3,5,5,7,5,5,4,3,5,3,7,6,7,7,4,5,3,4,4,5,7,7,5,6,5,4.5,4.5,3.5,5,4,6,5.5,6,5.5,4,4.5,3.5,4,4.5,5,5,6,5
16,8,1,77,"5","",10,4,"",700,2,1,"B",6,4,4,4,3,6,4,5,4,7,NA,4,5,3,3,5,5,7,7,5,7,5,5,4,3,5,3,7,6,7,7,4,5,3,4,4,5,7,7,5,5,5,4,5,4,5,5,5,5,5,4,4,4,4,4,5,5,3,5,5,6,5,4.5,4.5,3.5,5,4,6,5.5,6,5.5,4,4.5,3.5,4,4.5,5,5,6,5,7,7,6,5,4,6,3,6,6,7,7,4,5,4,4,3,5,6,6,5,5,5,5,3,3,4,4,5,5,5,5,4,4,3,3,3,4,5,5,5,6,6,5.5,4,3.5,5,3.5,5.5,5.5,6,6,4,4.5,3.5,3.5,3,4.5,5.5,5.5,5
17,9,0,25,"5","",13,4,"",48,2,1,"A",7,6,4,6,7,7,5,7,5,6,6,6,6,6,7,6,6,1,7,2,7,4,4,5,6,7,3,7,5,6,6,5,6,7,3,3,5,6,7,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5.5,4,4,4.5,5,5.5,3.5,5.5,4.5,5,5,4.5,5,5.5,3.5,3.5,4.5,5,5.5,2,4,4,4,7,7,7,5,7,4,7,6,6,6,6,7,7,6,1,5,2,5,4,4,7,7,7,6,7,3,7,6,6,6,6,7,7,6,1,6,2,4.5,4,4,7,7,7,5.5,7,3.5,7,6,6,6,6,7,7,6,1,5.5,2
18,9,1,21,"5","",13,4,"",48,1,0,"B",7,4,4,7,7,5,7,7,3,7,7,7,7,7,7,7,7,1,5,1,5,4,4,7,7,7,6,7,3,7,6,6,6,6,7,7,6,1,6,2,4,4,4,7,7,7,5,7,4,7,6,6,6,6,7,7,6,1,5,2,4.5,4,4,7,7,7,5.5,7,3.5,7,6,6,6,6,7,7,6,1,5.5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,7,4,4,5,6,7,3,7,5,6,6,5,6,7,3,3,5,6,7,2,5.5,4,4,4.5,5,5.5,3.5,5.5,4.5,5,5,4.5,5,5.5,3.5,3.5,4.5,5,5.5,2
19,10,0,31,"5","",8,4,"",60,2,0,"A",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,3,5.5,5.5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.5,5.5,5.5,5.5,4.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,2,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6.5,4.5,6,6,6,6.5,2
20,10,1,33,"5","",6,4,"",60,1,1,"B",5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,6,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6.5,4.5,6,6,6,6.5,2,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.5,5.5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.5,5.5,5.5,5.5,4.5
21,11,0,68,"5","",6,4,"",181,2,0,"B",7,6,6,7,5,7,7,3,6,6,2,5,6,6,4,5,6,2,6,6,6,6,5,3,4,6,7,1,5,6,3,4,5,4,5,5,6,7,6,6,7,6,7,4,3,6,7,5,6,6,2,3,4,4,4,6,6,7,6,6,6.5,6,6,3.5,3.5,6,7,3,5.5,6,2.5,3.5,4.5,4,4.5,5.5,6,7,6,6,4,3,5,6,5,7,5,3,5,6,2,6,5,7,4,5,7,3,5,6,5,4,6,7,5,6,7,7,5,6,4,5,6,7,4,6,7,2,4,5,4.5,3.5,5.5,6.5,5,6.5,6,5,5,6,3,5.5,5.5,7,4,5.5,7,2.5,4.5,5.5
